quarter,provisional_permission,written_permission,building_plan_approval,building_commencement,building_completion
2013-Q4,2881,3697,4300,3564,3631
2014-Q1,322,3954,3687,3841,4114
2014-Q2,1115,1131,3311,2808,4902
2014-Q3,3420,415,1300,3291,4559
2014-Q4,811,2954,977,1631,6366
2015-Q1,2475,1184,3797,2786,2976
2015-Q2,78,2159,1448,2570,6969
2015-Q3,1308,1305,989,1717,3644
2015-Q4,2401,790,839,1009,5382
2016-Q1,1381,1698,1223,1195,2919
2016-Q2,2306,980,1165,2870,8466
2016-Q3,1421,3062,2722,2755,4970
2016-Q4,1424,1712,2022,98,4448
2017-Q1,559,1281,1298,2388,4307
2017-Q2,2147,1134,1465,1074,3827
2017-Q3,3699,1000,901,1002,4066
2017-Q4,5356,1688,408,933,4249
2018-Q1,6182,3635,2097,3507,1977
2018-Q2,6206,7921,7003,3023,1327
2018-Q3,6529,4038,5943,2662,1088
