quarter,level_1,value
1978-Q1,Quarterly Composite Leading Index,25.8
1978-Q2,Quarterly Composite Leading Index,26.8
1978-Q3,Quarterly Composite Leading Index,27.6
1978-Q4,Quarterly Composite Leading Index,27
1979-Q1,Quarterly Composite Leading Index,28.2
1979-Q2,Quarterly Composite Leading Index,27.8
1979-Q3,Quarterly Composite Leading Index,27.8
1979-Q4,Quarterly Composite Leading Index,28.8
1980-Q1,Quarterly Composite Leading Index,29.4
1980-Q2,Quarterly Composite Leading Index,28.8
1980-Q3,Quarterly Composite Leading Index,30.9
1980-Q4,Quarterly Composite Leading Index,32.4
1981-Q1,Quarterly Composite Leading Index,33.2
1981-Q2,Quarterly Composite Leading Index,34.8
1981-Q3,Quarterly Composite Leading Index,33.6
1981-Q4,Quarterly Composite Leading Index,32.8
1982-Q1,Quarterly Composite Leading Index,32.6
1982-Q2,Quarterly Composite Leading Index,32.9
1982-Q3,Quarterly Composite Leading Index,31.9
1982-Q4,Quarterly Composite Leading Index,33.7
1983-Q1,Quarterly Composite Leading Index,35.6
1983-Q2,Quarterly Composite Leading Index,37.3
1983-Q3,Quarterly Composite Leading Index,38.2
1983-Q4,Quarterly Composite Leading Index,39.4
1984-Q1,Quarterly Composite Leading Index,38.7
1984-Q2,Quarterly Composite Leading Index,38.3
1984-Q3,Quarterly Composite Leading Index,37.1
1984-Q4,Quarterly Composite Leading Index,36.7
1985-Q1,Quarterly Composite Leading Index,34.8
1985-Q2,Quarterly Composite Leading Index,33.6
1985-Q3,Quarterly Composite Leading Index,33.3
1985-Q4,Quarterly Composite Leading Index,34.4
1986-Q1,Quarterly Composite Leading Index,35.4
1986-Q2,Quarterly Composite Leading Index,36.4
1986-Q3,Quarterly Composite Leading Index,37.2
1986-Q4,Quarterly Composite Leading Index,38.2
1987-Q1,Quarterly Composite Leading Index,39.7
1987-Q2,Quarterly Composite Leading Index,42
1987-Q3,Quarterly Composite Leading Index,44.6
1987-Q4,Quarterly Composite Leading Index,43.6
1988-Q1,Quarterly Composite Leading Index,43.4
1988-Q2,Quarterly Composite Leading Index,44.8
1988-Q3,Quarterly Composite Leading Index,45.9
1988-Q4,Quarterly Composite Leading Index,46
1989-Q1,Quarterly Composite Leading Index,47.5
1989-Q2,Quarterly Composite Leading Index,48
1989-Q3,Quarterly Composite Leading Index,49.1
1989-Q4,Quarterly Composite Leading Index,49.9
1990-Q1,Quarterly Composite Leading Index,51.7
1990-Q2,Quarterly Composite Leading Index,52
1990-Q3,Quarterly Composite Leading Index,51.2
1990-Q4,Quarterly Composite Leading Index,50.7
1991-Q1,Quarterly Composite Leading Index,52
1991-Q2,Quarterly Composite Leading Index,53.5
1991-Q3,Quarterly Composite Leading Index,54.9
1991-Q4,Quarterly Composite Leading Index,54.4
1992-Q1,Quarterly Composite Leading Index,55
1992-Q2,Quarterly Composite Leading Index,56.3
1992-Q3,Quarterly Composite Leading Index,56.2
1992-Q4,Quarterly Composite Leading Index,57.3
1993-Q1,Quarterly Composite Leading Index,58.6
1993-Q2,Quarterly Composite Leading Index,58.8
1993-Q3,Quarterly Composite Leading Index,59.1
1993-Q4,Quarterly Composite Leading Index,61.8
1994-Q1,Quarterly Composite Leading Index,61.7
1994-Q2,Quarterly Composite Leading Index,62.5
1994-Q3,Quarterly Composite Leading Index,63.5
1994-Q4,Quarterly Composite Leading Index,64.5
1995-Q1,Quarterly Composite Leading Index,63.8
