Variables,1990 1Q,1990 2Q,1990 3Q,1990 4Q,1991 1Q,1991 2Q,1991 3Q,1991 4Q,1992 1Q,1992 2Q,1992 3Q,1992 4Q,1993 1Q,1993 2Q,1993 3Q,1993 4Q,1994 1Q,1994 2Q,1994 3Q,1994 4Q,1995 1Q,1995 2Q,1995 3Q,1995 4Q,1996 1Q,1996 2Q,1996 3Q,1996 4Q,1997 1Q,1997 2Q,1997 3Q,1997 4Q,1998 1Q,1998 2Q,1998 3Q,1998 4Q,1999 1Q,1999 2Q,1999 3Q,1999 4Q,2000 1Q,2000 2Q,2000 3Q,2000 4Q,2001 1Q,2001 2Q,2001 3Q,2001 4Q,2002 1Q,2002 2Q,2002 3Q,2002 4Q,2003 1Q,2003 2Q,2003 3Q,2003 4Q,2004 1Q,2004 2Q,2004 3Q,2004 4Q,2005 1Q,2005 2Q,2005 3Q,2005 4Q,2006 1Q,2006 2Q,2006 3Q,2006 4Q,2007 1Q,2007 2Q,2007 3Q,2007 4Q,2008 1Q,2008 2Q,2008 3Q,2008 4Q,2009 1Q,2009 2Q,2009 3Q,2009 4Q,2010 1Q,2010 2Q,2010 3Q,2010 4Q,2011 1Q,2011 2Q,2011 3Q,2011 4Q,2012 1Q,2012 2Q,2012 3Q,2012 4Q,2013 1Q,2013 2Q,2013 3Q,2013 4Q,2014 1Q,2014 2Q,2014 3Q,2014 4Q,2015 1Q,2015 2Q,2015 3Q,2015 4Q,2016 1Q,2016 2Q,2016 3Q,2016 4Q,2017 1Q,2017 2Q,2017 3Q,2017 4Q,2018 1Q,2018 2Q,2018 3Q,2018 4Q,2019 1Q,2019 2Q,2019 3Q,2019 4Q,2020 1Q
Total,24.3,24.4,25,24.7,24.9,25.5,25.2,25.1,25.8,27.4,28,28.6,30.2,39.6,47.7,49,50.4,51.7,54.6,54.8,57.3,63.9,67.7,73.7,80.5,90.9,96.4,99,98.6,97.5,93.6,88,81.7,78.3,74.9,72.3,71.2,72.2,78.1,79.8,80.3,79.3,77.6,75.8,73.2,72.1,70.6,69.6,69.1,69.2,69.9,69.9,71,72.5,74.3,75.1,75.3,76.2,76.3,77.1,77.2,73.5,73.2,73.5,73.6,74.3,74.2,74.9,75.8,78.1,83.2,88,91.3,95.4,99.4,100.8,100,101.4,105,109,112.1,116.6,121.3,124.4,126.4,130.4,135.4,137.7,138.5,140.3,143.1,146.7,148.6,149.4,148.1,145.8,143.5,141.5,139.1,137,135.6,135,134.6,134.8,134.7,134.7,134.7,134.6,133.9,133.7,132.8,132.6,131.6,131.7,131.6,131.4,131,130.8,130.9,131.5,131.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The index is based on quarterly average resale price by date of registration.  The index till 3Q2014 was computed using stratification method, while that from 4Q2014 onwards is computed using the stratified hedonic regression method.  1Q2009 is adopted as the new base period with index at 100.  The index from 1Q1990 to 3Q2014 are rebased to the new base period at 1Q2009.  Indices from 1Q1990 to 3Q2014 are re-scaled using a factor of 100 (new index in 1Q2009) / 138.3 (original index in 1Q2009) multiplied on the original index level to derive the re-based index level for the respective quarters.  Due to rounding, there could be some differences in the quarterly price change compared to the RPI series before re-scaling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE: HOUSING AND DEVELOPMENT BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
