Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Residents,"3,273,363.00","3,325,902.00","3,382,944.00","3,366,891.00","3,413,266.00","3,467,814.00","3,525,894.00","3,583,082.00","3,642,659.00","3,733,876.00","3,771,721.00","3,789,251.00","3,818,205.00","3,844,751.00","3,870,739.00","3,902,690.00","3,933,559.00","3,965,796.00","3,994,283.00","4,026,209.00"
        Total HDB Dwellings,"2,787,664.00","2,812,379.00","2,847,905.00","2,835,299.00","2,860,404.00","2,887,618.00","2,921,412.00","2,962,077.00","3,017,728.00","3,090,463.00","3,111,083.00","3,120,823.00","3,136,924.00","3,147,634.00","3,154,691.00","3,162,357.00","3,162,636.00","3,156,575.00","3,149,249.00","3,154,524.00"
            HDB 1- And 2-room Flats,"105,825.00","97,387.00","94,380.00","89,022.00","90,422.00","91,379.00","93,676.00","97,512.00","101,302.00","106,133.00","112,433.00","122,473.00","132,214.00","143,445.00","151,720.00","159,792.00","163,847.00","168,052.00","170,955.00","173,771.00"
            HDB 3-room Flats,"710,485.00","677,179.00","655,820.00","633,407.00","618,003.00","608,511.00","605,224.00","609,024.00","617,559.00","632,943.00","632,538.00","629,207.00","621,569.00","612,096.00","609,833.00","604,579.00","599,416.00","590,806.00","584,821.00","580,233.00"
            HDB 4-room Flats,"1,127,389.00","1,148,715.00","1,175,794.00","1,172,937.00","1,183,552.00","1,194,271.00","1,208,149.00","1,221,318.00","1,243,034.00","1,272,084.00","1,279,865.00","1,283,524.00","1,294,678.00","1,303,959.00","1,311,754.00","1,320,285.00","1,325,542.00","1,330,160.00","1,331,440.00","1,337,743.00"
            HDB 5-room And Executive Flats,"821,882.00","868,694.00","906,031.00","927,187.00","956,836.00","981,865.00","1,002,746.00","1,022,687.00","1,046,011.00","1,069,368.00","1,076,353.00","1,077,235.00","1,080,226.00","1,081,223.00","1,077,664.00","1,074,735.00","1,070,978.00","1,067,557.00","1,062,033.00","1,062,777.00"
        Condominiums & Other Apartments,"207,005.00","235,248.00","259,451.00","268,063.00","288,546.00","312,134.00","335,199.00","348,155.00","344,689.00","357,532.00","373,852.00","383,257.00","393,721.00","407,454.00","425,994.00","452,998.00","484,544.00","525,584.00","562,228.00","587,860.00"
        Landed Properties,"241,684.00","243,108.00","242,331.00","233,863.00","235,369.00","237,295.00","238,516.00","240,877.00","242,625.00","246,126.00","248,189.00","247,556.00","249,548.00","251,347.00","252,814.00","251,082.00","250,745.00","249,408.00","248,240.00","249,077.00"
        Other Types Of Dwelling,"37,010.00","35,167.00","33,257.00","29,666.00","28,947.00","30,767.00","30,767.00","31,973.00","37,617.00","39,755.00","38,597.00","37,615.00","38,012.00","38,316.00","37,240.00","36,253.00","35,634.00","34,229.00","34,566.00","34,748.00"
0-4 Years,"225,705.00","222,991.00","217,798.00","209,903.00","204,819.00","199,529.00","194,479.00","193,626.00","193,889.00","197,788.00","194,432.00","188,249.00","186,673.00","183,295.00","181,369.00","183,575.00","187,160.00","187,653.00","185,528.00","185,355.00"
        Total HDB Dwellings,"198,145.00","194,458.00","189,346.00","182,327.00","176,480.00","170,163.00","164,278.00","162,664.00","163,479.00","166,987.00","163,155.00","157,545.00","155,549.00","152,005.00","149,709.00","150,367.00","152,004.00","150,516.00","147,012.00","146,195.00"
            HDB 1- And 2-room Flats,"4,569.00","3,874.00","3,457.00","3,280.00","3,283.00","3,263.00","3,344.00","3,698.00","4,158.00","4,615.00","5,191.00","5,878.00","6,571.00","7,219.00","7,412.00","7,603.00","7,752.00","7,965.00","7,907.00","7,828.00"
