SIBOR DATE,SIBOR 1M,SIBOR 3M,SIBOR 6M,SIBOR 12M
2/1/2014,0.35369,0.40267,0.48191,0.59728
3/1/2014,0.35057,0.40267,0.48191,0.59728
6/1/2014,0.3552,0.40361,0.48191,0.59728
7/1/2014,0.3552,0.40361,0.48191,0.59728
8/1/2014,0.3552,0.40461,0.48191,0.59728
9/1/2014,0.3552,0.40461,0.48191,0.59728
10/1/2014,0.3552,0.4046,0.48191,0.59727
13/1/2014,0.3552,0.40461,0.48191,0.59728
14/1/2014,0.3552,0.40461,0.48191,0.59728
15/1/2014,0.3552,0.40503,0.48191,0.59728
16/1/2014,0.3552,0.40503,0.48191,0.59728
17/1/2014,0.3552,0.40503,0.48191,0.59728
20/1/2014,0.3552,0.40503,0.48191,0.59728
21/1/2014,0.3552,0.40503,0.48191,0.59728
22/1/2014,0.3552,0.40503,0.48191,0.59728
23/1/2014,0.3552,0.40503,0.48191,0.59728
24/1/2014,0.3552,0.40503,0.48191,0.59728
27/1/2014,0.3552,0.40503,0.48191,0.59728
28/1/2014,0.3552,0.40503,0.48191,0.59728
29/1/2014,0.3552,0.40503,0.48191,0.59728
30/1/2014,0.3552,0.40503,0.48191,0.59728
3/2/2014,0.3552,0.40503,0.48191,0.59728
4/2/2014,0.3552,0.40503,0.48191,0.59728
5/2/2014,0.3552,0.40503,0.48191,0.59728
6/2/2014,0.3552,0.40503,0.48191,0.59728
7/2/2014,0.3552,0.40503,0.48191,0.59728
10/2/2014,0.3552,0.40503,0.48191,0.59728
11/2/2014,0.3552,0.40503,0.48191,0.59728
12/2/2014,0.35457,0.40303,0.48191,0.59528
13/2/2014,0.35459,0.40303,0.48141,0.5948
14/2/2014,0.3543,0.40303,0.48141,0.5948
17/2/2014,0.35534,0.40303,0.48141,0.5948
18/2/2014,0.35534,0.40305,0.48141,0.59477
19/2/2014,0.35534,0.40305,0.48141,0.59477
20/2/2014,0.35434,0.39196,0.48141,0.59477
21/2/2014,0.35434,0.38885,0.48141,0.59402
24/2/2014,0.35434,0.40205,0.48141,0.59402
25/2/2014,0.35434,0.40205,0.48141,0.59402
26/2/2014,0.35434,0.40205,0.48141,0.59402
27/2/2014,0.3535,0.40205,0.48141,0.59402
28/2/2014,0.35434,0.40205,0.48141,0.59402
3/3/2014,0.35434,0.40205,0.48141,0.59402
4/3/2014,0.35434,0.40205,0.48141,0.59402
5/3/2014,0.35372,0.40205,0.48141,0.59402
6/3/2014,0.35372,0.40205,0.48141,0.59402
7/3/2014,0.35372,0.40205,0.48141,0.59402
10/3/2014,0.35372,0.40205,0.48141,0.59402
11/3/2014,0.35472,0.40205,0.48141,0.59402
12/3/2014,0.35472,0.40205,0.48141,0.59402
13/3/2014,0.35472,0.40205,0.48141,0.59402
14/3/2014,0.35472,0.40205,0.48141,0.59402
17/3/2014,0.35472,0.40205,0.48141,0.59402
18/3/2014,0.35472,0.40205,0.48141,0.59402
19/3/2014,0.35472,0.40205,0.48141,0.59402
20/3/2014,0.35472,0.40205,0.48141,0.59402
21/3/2014,0.35572,0.40305,0.48141,0.59402
24/3/2014,0.35884,0.40568,0.48141,0.59477
25/3/2014,0.35884,0.40568,0.48141,0.59477
26/3/2014,0.35784,0.40568,0.48141,0.59477
27/3/2014,0.35884,0.40568,0.48141,0.59477
28/3/2014,0.36034,0.40626,0.47741,0.59027
31/3/2014,0.36034,0.40626,0.47741,0.59027
1/4/2014,0.35934,0.40526,0.47741,0.59027
2/4/2014,0.35584,0.40213,0.47179,0.59027
3/4/2014,0.35742,0.40526,0.47741,0.59027
4/4/2014,0.35884,0.40376,0.47741,0.59027
7/4/2014,0.35784,0.40376,0.47741,0.59027
8/4/2014,0.35784,0.40376,0.47741,0.59027
9/4/2014,0.35684,0.40376,0.47741,0.59027
10/4/2014,0.35684,0.40376,0.47741,0.59027
11/4/2014,0.35684,0.40376,0.47741,0.59027
14/4/2014,0.35784,0.40376,0.47741,0.59027
15/4/2014,0.35784,0.40376,0.47741,0.59265
16/4/2014,0.35784,0.40376,0.47741,0.59265
17/4/2014,0.35472,0.40376,0.47741,0.59265
21/4/2014,0.35784,0.40376,0.47741,0.59265
