Variables,1992 1Q,1992 2Q,1992 3Q,1992 4Q,1993 1Q,1993 2Q,1993 3Q,1993 4Q,1994 1Q,1994 2Q,1994 3Q,1994 4Q,1995 1Q,1995 2Q,1995 3Q,1995 4Q,1996 1Q,1996 2Q,1996 3Q,1996 4Q,1997 1Q,1997 2Q,1997 3Q,1997 4Q,1998 1Q,1998 2Q,1998 3Q,1998 4Q,1999 1Q,1999 2Q,1999 3Q,1999 4Q,2000 1Q,2000 2Q,2000 3Q,2000 4Q,2001 1Q,2001 2Q,2001 3Q,2001 4Q,2002 1Q,2002 2Q,2002 3Q,2002 4Q,2003 1Q,2003 2Q,2003 3Q,2003 4Q,2004 1Q,2004 2Q,2004 3Q,2004 4Q,2005 1Q,2005 2Q,2005 3Q,2005 4Q,2006 1Q,2006 2Q,2006 3Q,2006 4Q,2007 1Q,2007 2Q,2007 3Q,2007 4Q,2008 1Q,2008 2Q,2008 3Q,2008 4Q,2009 1Q,2009 2Q,2009 3Q,2009 4Q,2010 1Q,2010 2Q,2010 3Q,2010 4Q,2011 1Q,2011 2Q,2011 3Q,2011 4Q,2012 1Q,2012 2Q,2012 3Q,2012 4Q,2013 1Q,2013 2Q,2013 3Q,2013 4Q,2014 1Q,2014 2Q,2014 3Q,2014 4Q,2015 1Q,2015 2Q,2015 3Q,2015 4Q,2016 1Q,2016 2Q,2016 3Q,2016 4Q,2017 1Q,2017 2Q,2017 3Q,2017 4Q,2018 1Q,2018 2Q,2018 3Q,2018 4Q,2019 1Q,2019 2Q,2019 3Q,2019 4Q,2020 1Q
Total Unemployment Rate,1.5,2.4,1.6,1.7,1.2,2.4,1.5,1.7,1.4,2.2,1.4,1.9,1.5,2.5,1.2,1.8,1.5,2.4,1.1,1.6,1.2,1.9,1,1.6,1.4,2.5,2.5,3.6,2.6,3.6,2.4,2.6,2.3,4.4,1.6,2.4,1.6,2.7,2.4,3.9,3,4.2,3.1,3.9,3.2,4.5,4.1,4,3.2,4.4,2.6,3.2,2.8,4.2,2.9,2.6,2.2,3.4,2.4,2.6,2.5,2.9,1.5,1.6,1.8,2.8,1.9,2.4,3,4.1,2.9,2.1,2.1,2.8,1.8,2,1.8,2.7,1.8,1.8,1.9,2.6,1.7,1.6,1.8,2.6,1.6,1.6,1.9,2.6,1.7,1.6,1.7,2.6,1.7,1.6,1.8,2.8,1.8,1.9,2.1,2.9,1.9,1.8,1.9,2.7,1.9,1.9,2,3,2,2,2.2
Resident Unemployment Rate,1.8,2.8,2,2,1.5,2.8,1.8,2.1,1.8,2.7,1.7,2.4,1.8,3.2,1.5,2.3,2,3.1,1.5,2.1,1.6,2.5,1.4,2.3,2,3.4,3.5,4.9,3.6,4.9,3.2,3.5,3.2,6,2.3,3.3,2.2,3.8,3.3,5.5,4.2,5.6,4.2,5.2,4.2,5.9,5.4,5.4,4.3,5.8,3.4,4.2,3.7,5.6,3.8,3.4,2.9,4.5,3.2,3.6,3.4,4,2.1,2.3,2.6,4,2.8,3.5,4.4,5.9,4.1,2.9,3.1,4.1,2.6,2.7,2.6,3.9,2.5,2.5,2.8,3.7,2.4,2.4,2.7,3.9,2.2,2.3,2.7,3.7,2.3,2.2,2.4,3.8,2.5,2.4,2.5,4.1,2.5,2.7,3,4.2,2.7,2.5,2.7,3.9,2.5,2.6,2.8,4.2,2.8,2.7,3.1
Citizen Unemployment Rate,1.8,2.9,2,2,1.6,2.9,1.9,2.1,1.8,2.8,1.8,2.4,1.9,3.2,1.5,2.4,2,3.2,1.5,2.2,1.7,2.6,1.5,2.3,2.1,3.5,3.6,5.1,3.7,5,3.3,3.6,3.4,6.2,2.3,3.5,2.4,3.9,3.5,5.8,4.4,5.9,4.5,5.4,4.3,6.1,5.6,5.7,4.6,6.2,3.7,4.6,3.8,5.8,4.1,3.7,3.2,4.7,3.2,3.7,3.5,4.2,2.2,2.5,2.8,4.1,2.9,3.7,4.7,6.1,4.2,3.1,3.2,4.4,2.8,3,2.7,4,2.6,2.7,3,3.9,2.6,2.6,2.8,4,2.4,2.5,2.8,3.9,2.4,2.3,2.5,4,2.7,2.5,2.5,4.2,2.7,2.9,3.2,4.4,2.8,2.6,2.7,4.1,2.6,2.7,2.9,4.4,2.9,2.8,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total population comprises residents and non residents.  Residents refer to Singapore citizens and permanent residents.  Data for June 1995, 2000 and 2005 were obtained from the General Household Survey (June 1995 and 2005) and Population Census (June 2000) conducted by the Singapore Department of Statistics, Ministry of Trade and Industry.  The Labour Force Survey was not conducted in these periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL UNEMPLOYMENT RATE - Data is non-seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESIDENT UNEMPLOYMENT RATE - Data is non-seasonally adjusted.  Residents refer to Singapore citizens and Singapore Permanent Residents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITIZEN UNEMPLOYMENT RATE - Data is non-seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
