date,cli
1978-01-01,25.8
1978-02-01,25.8
1978-03-01,25.8
1978-04-01,26.8
1978-05-01,26.8
1978-06-01,26.8
1978-07-01,27.6
1978-08-01,27.6
1978-09-01,27.6
1978-10-01,27.0
1978-11-01,27.0
1978-12-01,27.0
1979-01-01,28.2
1979-02-01,28.2
1979-03-01,28.2
1979-04-01,27.8
1979-05-01,27.8
1979-06-01,27.8
1979-07-01,27.8
1979-08-01,27.8
1979-09-01,27.8
1979-10-01,28.8
1979-11-01,28.8
1979-12-01,28.8
1980-01-01,29.4
1980-02-01,29.4
1980-03-01,29.4
1980-04-01,28.8
1980-05-01,28.8
1980-06-01,28.8
1980-07-01,30.9
1980-08-01,30.9
1980-09-01,30.9
1980-10-01,32.4
1980-11-01,32.4
1980-12-01,32.4
1981-01-01,33.2
1981-02-01,33.2
1981-03-01,33.2
1981-04-01,34.8
1981-05-01,34.8
1981-06-01,34.8
1981-07-01,33.6
1981-08-01,33.6
1981-09-01,33.6
1981-10-01,32.8
1981-11-01,32.8
1981-12-01,32.8
1982-01-01,32.6
1982-02-01,32.6
1982-03-01,32.6
1982-04-01,32.9
1982-05-01,32.9
1982-06-01,32.9
1982-07-01,31.9
1982-08-01,31.9
1982-09-01,31.9
1982-10-01,33.7
1982-11-01,33.7
1982-12-01,33.7
1983-01-01,35.6
1983-02-01,35.6
1983-03-01,35.6
1983-04-01,37.3
1983-05-01,37.3
1983-06-01,37.3
1983-07-01,38.2
1983-08-01,38.2
1983-09-01,38.2
1983-10-01,39.4
1983-11-01,39.4
1983-12-01,39.4
1984-01-01,38.7
1984-02-01,38.7
1984-03-01,38.7
1984-04-01,38.3
1984-05-01,38.3
1984-06-01,38.3
1984-07-01,37.1
1984-08-01,37.1
1984-09-01,37.1
1984-10-01,36.7
1984-11-01,36.7
1984-12-01,36.7
1985-01-01,34.8
1985-02-01,34.8
1985-03-01,34.8
1985-04-01,33.6
1985-05-01,33.6
1985-06-01,33.6
1985-07-01,33.3
1985-08-01,33.3
1985-09-01,33.3
1985-10-01,34.4
1985-11-01,34.4
1985-12-01,34.4
1986-01-01,35.4
1986-02-01,35.4
1986-03-01,35.4
1986-04-01,36.4
1986-05-01,36.4
1986-06-01,36.4
1986-07-01,37.2
1986-08-01,37.2
1986-09-01,37.2
1986-10-01,38.2
1986-11-01,38.2
1986-12-01,38.2
1987-01-01,39.7
1987-02-01,39.7
1987-03-01,39.7
1987-04-01,42.0
1987-05-01,42.0
1987-06-01,42.0
1987-07-01,44.6
1987-08-01,44.6
1987-09-01,44.6
1987-10-01,43.6
1987-11-01,43.6
1987-12-01,43.6
1988-01-01,43.4
1988-02-01,43.4
1988-03-01,43.4
1988-04-01,44.8
1988-05-01,44.8
1988-06-01,44.8
1988-07-01,45.9
1988-08-01,45.9
1988-09-01,45.9
1988-10-01,46.0
1988-11-01,46.0
1988-12-01,46.0
1989-01-01,47.5
1989-02-01,47.5
1989-03-01,47.5
1989-04-01,48.0
1989-05-01,48.0
1989-06-01,48.0
1989-07-01,49.1
1989-08-01,49.1
1989-09-01,49.1
1989-10-01,49.9
1989-11-01,49.9
1989-12-01,49.9
1990-01-01,51.7
1990-02-01,51.7
1990-03-01,51.7
1990-04-01,52.0
1990-05-01,52.0
1990-06-01,52.0
1990-07-01,51.2
1990-08-01,51.2
1990-09-01,51.2
1990-10-01,50.7
1990-11-01,50.7
1990-12-01,50.7
1991-01-01,52.0
1991-02-01,52.0
1991-03-01,52.0
1991-04-01,53.5
1991-05-01,53.5
1991-06-01,53.5
1991-07-01,54.9
1991-08-01,54.9
1991-09-01,54.9
1991-10-01,54.4
1991-11-01,54.4
1991-12-01,54.4
1992-01-01,55.0
1992-02-01,55.0
1992-03-01,55.0
1992-04-01,56.3
1992-05-01,56.3
1992-06-01,56.3
1992-07-01,56.2
