date,condo_index
1975-01-01,10.5
1975-02-01,10.5
1975-03-01,10.5
1975-04-01,11.2
1975-05-01,11.2
1975-06-01,11.2
1975-07-01,11.5
1975-08-01,11.5
1975-09-01,11.5
1975-10-01,11.5
1975-11-01,11.5
1975-12-01,11.5
1976-01-01,11.5
1976-02-01,11.5
1976-03-01,11.5
1976-04-01,11.7
1976-05-01,11.7
1976-06-01,11.7
1976-07-01,11.7
1976-08-01,11.7
1976-09-01,11.7
1976-10-01,11.5
1976-11-01,11.5
1976-12-01,11.5
1977-01-01,11.5
1977-02-01,11.5
1977-03-01,11.5
1977-04-01,11.5
1977-05-01,11.5
1977-06-01,11.5
1977-07-01,11.5
1977-08-01,11.5
1977-09-01,11.5
1977-10-01,11.5
1977-11-01,11.5
1977-12-01,11.5
1978-01-01,11.5
1978-02-01,11.5
1978-03-01,11.5
1978-04-01,11.7
1978-05-01,11.7
1978-06-01,11.7
1978-07-01,11.7
1978-08-01,11.7
1978-09-01,11.7
1978-10-01,12.1
1978-11-01,12.1
1978-12-01,12.1
1979-01-01,12.7
1979-02-01,12.7
1979-03-01,12.7
1979-04-01,13.3
1979-05-01,13.3
1979-06-01,13.3
1979-07-01,14.6
1979-08-01,14.6
1979-09-01,14.6
1979-10-01,15.8
1979-11-01,15.8
1979-12-01,15.8
1980-01-01,18.9
1980-02-01,18.9
1980-03-01,18.9
1980-04-01,22.0
1980-05-01,22.0
1980-06-01,22.0
1980-07-01,25.8
1980-08-01,25.8
1980-09-01,25.8
1980-10-01,31.0
1980-11-01,31.0
1980-12-01,31.0
1981-01-01,39.6
1981-02-01,39.6
1981-03-01,39.6
1981-04-01,44.3
1981-05-01,44.3
1981-06-01,44.3
1981-07-01,43.1
1981-08-01,43.1
1981-09-01,43.1
1981-10-01,40.0
1981-11-01,40.0
1981-12-01,40.0
1982-01-01,38.7
1982-02-01,38.7
1982-03-01,38.7
1982-04-01,39.0
1982-05-01,39.0
1982-06-01,39.0
1982-07-01,38.7
1982-08-01,38.7
1982-09-01,38.7
1982-10-01,39.6
1982-11-01,39.6
1982-12-01,39.6
1983-01-01,40.6
