,date,gdp_growth
0,1976-01-01,8.2
1,1976-02-01,8.2
2,1976-03-01,8.2
3,1976-04-01,7.4
4,1976-05-01,7.4
5,1976-06-01,7.4
6,1976-07-01,7.2
7,1976-08-01,7.2
8,1976-09-01,7.2
9,1976-10-01,7.0
10,1976-11-01,7.0
11,1976-12-01,7.0
12,1977-01-01,6.2
13,1977-02-01,6.2
14,1977-03-01,6.2
15,1977-04-01,7.6
16,1977-05-01,7.6
17,1977-06-01,7.6
18,1977-07-01,6.4
19,1977-08-01,6.4
20,1977-09-01,6.4
21,1977-10-01,7.2
22,1977-11-01,7.2
23,1977-12-01,7.2
24,1978-01-01,5.6
25,1978-02-01,5.6
26,1978-03-01,5.6
27,1978-04-01,6.2
28,1978-05-01,6.2
29,1978-06-01,6.2
30,1978-07-01,8.8
31,1978-08-01,8.8
32,1978-09-01,8.8
33,1978-10-01,10.2
34,1978-11-01,10.2
35,1978-12-01,10.2
36,1979-01-01,9.5
37,1979-02-01,9.5
38,1979-03-01,9.5
39,1979-04-01,10.7
40,1979-05-01,10.7
41,1979-06-01,10.7
42,1979-07-01,8.2
43,1979-08-01,8.2
44,1979-09-01,8.2
45,1979-10-01,9.9
46,1979-11-01,9.9
47,1979-12-01,9.9
48,1980-01-01,11.5
49,1980-02-01,11.5
50,1980-03-01,11.5
51,1980-04-01,10.3
52,1980-05-01,10.3
53,1980-06-01,10.3
54,1980-07-01,10.3
55,1980-08-01,10.3
56,1980-09-01,10.3
57,1980-10-01,8.5
58,1980-11-01,8.5
59,1980-12-01,8.5
60,1981-01-01,10.3
61,1981-02-01,10.3
62,1981-03-01,10.3
63,1981-04-01,11.5
64,1981-05-01,11.5
65,1981-06-01,11.5
66,1981-07-01,11.2
67,1981-08-01,11.2
68,1981-09-01,11.2
69,1981-10-01,10.4
70,1981-11-01,10.4
71,1981-12-01,10.4
72,1982-01-01,9.1
73,1982-02-01,9.1
74,1982-03-01,9.1
75,1982-04-01,7.4
76,1982-05-01,7.4
77,1982-06-01,7.4
78,1982-07-01,6.4
79,1982-08-01,6.4
80,1982-09-01,6.4
81,1982-10-01,5.7
82,1982-11-01,5.7
83,1982-12-01,5.7
84,1983-01-01,7.6
85,1983-02-01,7.6
86,1983-03-01,7.6
87,1983-04-01,8.0
88,1983-05-01,8.0
89,1983-06-01,8.0
90,1983-07-01,8.6
91,1983-08-01,8.6
92,1983-09-01,8.6
93,1983-10-01,10.0
94,1983-11-01,10.0
95,1983-12-01,10.0
96,1984-01-01,10.9
97,1984-02-01,10.9
98,1984-03-01,10.9
99,1984-04-01,9.8
100,1984-05-01,9.8
101,1984-06-01,9.8
102,1984-07-01,8.8
103,1984-08-01,8.8
104,1984-09-01,8.8
105,1984-10-01,5.9
106,1984-11-01,5.9
107,1984-12-01,5.9
108,1985-01-01,3.9
109,1985-02-01,3.9
110,1985-03-01,3.9
111,1985-04-01,-0.1
112,1985-05-01,-0.1
113,1985-06-01,-0.1
114,1985-07-01,-2.3
115,1985-08-01,-2.3
116,1985-09-01,-2.3
117,1985-10-01,-3.8
118,1985-11-01,-3.8
119,1985-12-01,-3.8
120,1986-01-01,-4.0
121,1986-02-01,-4.0
122,1986-03-01,-4.0
123,1986-04-01,0.1
124,1986-05-01,0.1
125,1986-06-01,0.1
126,1986-07-01,2.9
127,1986-08-01,2.9
128,1986-09-01,2.9
129,1986-10-01,6.5
130,1986-11-01,6.5
131,1986-12-01,6.5
132,1987-01-01,8.1
133,1987-02-01,8.1
134,1987-03-01,8.1
135,1987-04-01,10.2
136,1987-05-01,10.2
137,1987-06-01,10.2
138,1987-07-01,12.3
139,1987-08-01,12.3
140,1987-09-01,12.3
141,1987-10-01,12.5
142,1987-11-01,12.5
143,1987-12-01,12.5
144,1988-01-01,11.1
145,1988-02-01,11.1
146,1988-03-01,11.1
147,1988-04-01,12.0
148,1988-05-01,12.0
149,1988-06-01,12.0
150,1988-07-01,11.2
151,1988-08-01,11.2
152,1988-09-01,11.2
153,1988-10-01,10.7
154,1988-11-01,10.7
155,1988-12-01,10.7
156,1989-01-01,9.9
157,1989-02-01,9.9
158,1989-03-01,9.9
159,1989-04-01,11.4
160,1989-05-01,11.4
161,1989-06-01,11.4
162,1989-07-01,9.9
163,1989-08-01,9.9
164,1989-09-01,9.9
165,1989-10-01,9.5
166,1989-11-01,9.5
167,1989-12-01,9.5
168,1990-01-01,14.0
169,1990-02-01,14.0
170,1990-03-01,14.0
171,1990-04-01,8.8
172,1990-05-01,8.8
173,1990-06-01,8.8
174,1990-07-01,8.8
175,1990-08-01,8.8
176,1990-09-01,8.8
177,1990-10-01,8.1
178,1990-11-01,8.1
179,1990-12-01,8.1
180,1991-01-01,6.4
181,1991-02-01,6.4
182,1991-03-01,6.4
183,1991-04-01,6.5
184,1991-05-01,6.5
185,1991-06-01,6.5
186,1991-07-01,7.3
187,1991-08-01,7.3
188,1991-09-01,7.3
189,1991-10-01,6.5
190,1991-11-01,6.5
191,1991-12-01,6.5
192,1992-01-01,5.7
193,1992-02-01,5.7
194,1992-03-01,5.7
195,1992-04-01,5.4
196,1992-05-01,5.4
197,1992-06-01,5.4
198,1992-07-01,6.7
199,1992-08-01,6.7
200,1992-09-01,6.7
201,1992-10-01,8.7
202,1992-11-01,8.7
203,1992-12-01,8.7
204,1993-01-01,9.0
205,1993-02-01,9.0
206,1993-03-01,9.0
207,1993-04-01,12.3
208,1993-05-01,12.3
209,1993-06-01,12.3
210,1993-07-01,11.5
211,1993-08-01,11.5
212,1993-09-01,11.5
213,1993-10-01,12.9
