year,married
1980,864600
1983,951200
1984,1005100
1985,1020100
1986,1039700
1987,1083300
1988,1112200
1989,1137800
1990,1176400
1991,1240000
1992,1269000
1993,1310000
1994,1349600
1995,1383600
1996,1428300
1997,1478600
1998,1510000
1999,1528700
2000,1543200
2001,1576200
2002,1622400
2003,1660300
2004,1678700
2005,1700500
2006,1757600
2007,1787100
2008,1783700
2009,1831300
2010,1844600
2011,1875900
2012,1899000
2013,1911500
2014,1940100
2015,1945600
2016,1974700
2017,2018400
2018,2026800
2019,2055300
