date,pmi
2015-01-01,49.9
2015-01-01,49.9
2015-01-02,49.7
2015-01-02,49.7
2015-01-03,49.6
2015-01-03,49.6
2015-01-04,49.4
2015-01-04,49.4
2015-01-05,59.2
2015-01-05,59.2
2015-01-06,50.4
2015-01-06,50.4
2015-01-07,49.7
2015-01-07,49.7
2015-01-08,49.3
2015-01-08,49.3
2015-01-09,48.6
2015-01-09,48.6
2015-01-10,48.9
2015-01-10,48.9
2015-01-11,49.2
2015-01-11,49.2
2015-01-12,49.5
2015-01-12,49.5
2016-01-01,49.0
2016-01-01,49.0
2016-01-02,48.5
2016-01-02,48.5
2016-01-03,49.4
2016-01-03,49.4
2016-01-04,49.8
2016-01-04,49.8
2016-01-05,49.8
2016-01-05,49.8
2016-01-06,49.6
2016-01-06,49.6
2016-01-07,49.3
2016-01-07,49.3
2016-01-08,49.8
2016-01-08,49.8
2016-01-09,50.1
2016-01-09,50.1
2016-01-10,50.0
2016-01-10,50.0
2016-01-11,50.2
2016-01-11,50.2
2016-01-12,50.6
2016-01-12,50.6
2017-01-01,51.0
2017-01-01,51.0
2017-01-02,50.9
2017-01-02,50.9
2017-01-03,51.2
2017-01-03,51.2
2017-01-04,51.1
2017-01-04,51.1
2017-01-05,50.9
2017-01-05,50.9
2017-01-06,50.9
2017-01-06,50.9
2017-01-07,51.0
2017-01-07,51.0
2017-01-09,51.8
2017-01-09,52.0
2017-01-09,52.0
2017-01-09,51.8
2017-01-10,52.6
2017-01-10,52.6
2017-01-11,52.9
2017-01-11,52.9
2017-01-12,52.8
2017-01-12,52.8
2018-01-01,53.1
2018-01-01,53.1
2018-01-02,52.7
2018-01-02,52.7
2018-01-03,53.0
2018-01-03,53.0
2018-01-04,52.9
2018-01-04,52.9
2018-01-05,52.7
2018-01-05,52.7
2018-01-06,52.5
2018-01-06,52.5
2018-01-07,52.3
2018-01-07,52.3
2018-01-08,52.6
2018-01-08,52.6
2018-01-09,52.4
2018-01-09,52.4
2018-10-01,51.9
2018-11-01,51.5
2018-12-01,51.1
2019-01-01,50.7
2019-02-01,50.4
2019-03-01,50.8
2019-04-01,50.3
2019-05-01,49.9
2019-06-01,49.6
2019-07-01,49.8
2019-08-01,49.9
2019-09-01,49.5
2019-10-01,49.6
2019-11-01,49.8
2019-12-01,50.1
2020-01-01,50.3
2020-02-01,48.7
2020-03-01,45.4
2020-04-01,44.7
2020-05-01,46.8
2020-06-01,48.0
