year,month,pte_pipe
2013,10,14442
2013,11,14442
2013,12,14442
2014,1,11804
2014,2,11804
2014,3,11804
2014,4,8365
2014,5,8365
2014,6,8365
2014,7,8426
2014,8,8426
2014,9,8426
2014,10,6373
2014,11,6373
2014,12,6373
2015,1,10242
2015,2,10242
2015,3,10242
2015,4,6255
2015,5,6255
2015,6,6255
2015,7,5319
2015,8,5319
2015,9,5319
2015,10,5039
2015,11,5039
2015,12,5039
2016,1,5497
2016,2,5497
2016,3,5497
2016,4,7321
2016,5,7321
2016,6,7321
2016,7,9960
2016,8,9960
2016,9,9960
2016,10,5256
2016,11,5256
2016,12,5256
2017,1,5526
2017,2,5526
2017,3,5526
2017,4,5820
2017,5,5820
2017,6,5820
2017,7,6602
2017,8,6602
2017,9,6602
2017,10,8385
2017,11,8385
2017,12,8385
2018,1,15421
2018,2,15421
2018,3,15421
2018,4,24153
2018,5,24153
2018,6,24153
2018,7,19172
2018,8,19172
2018,9,19172
