hawker_centre,address,type_of_centre,lat,lng
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,41.597708,-74.712006
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,31.236763850000003,121.48272060369949
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,1.3203553000000001,103.95548834281553
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,1.2891495,103.8267699906591
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,3.0260334,101.7090305
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,1.3395785,103.7764262
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,1.3642327,103.8665725
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,1.3068116,103.8004053
Dunman Food Centre,"271, Onan Road, S(424768)",HC,1.309346,103.901793
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,1.29391,103.8640869
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,1.3171786,103.8973614
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,1.303137,103.8639373
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,1.3124882,103.7941621
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,38.92709759654139,-75.53924365510557
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,10.5148117,-61.4137333
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,1.2802814,103.8449771
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,1.3121232,103.83972339469418
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,1.2978911,103.8551856
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,1.276207,103.7924956
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,1.3636598,103.8669539
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,1.3675368,103.82829
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,1.3348299,103.7216163
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,1.300558,103.7977775147514
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,1.2854632,103.8337564
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,40.223311574988564,-75.87675831963705
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,1.2802095,103.8273032
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,1.3760726,103.7742545
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,4.5523998,101.0411159
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,1.2879272,103.8397868
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,1.27244,103.824196
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,1.2778572,103.818662
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,1.3394826,103.7366429
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,1.28350915,103.82332492999029
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,1.3204198,103.8872257
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,34.4515128,-106.7060397
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,34.4485471,-106.7060071
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,1.2919049,103.8021683
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,1.3187905,103.9478402
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,1.28281325,103.81674298893428
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,1.3134976,103.8695399
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,1.3083986,103.7895774
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,36.273488,43.162365
Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,1.3476062,103.7124591
Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,1.3832288,103.74713047389402
Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,1.3358639,103.8577251
Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,36.273488,43.162365
Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,36.273488,43.162365
Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC,1.341949,103.951734
Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC,1.3184404,103.8637878
Blk 320 Shunfu Road,"Blk 320, Shunfu Road, S(570320)",MHC,1.4320597,103.7782694
Blk 341 Ang Mo Kio Ave 1,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC,1.38438855,103.74608167788713
Blk 347 Jurong East Ave 1,"Blk 347, Jurong East Ave 1, S(600347)",MHC,1.3453327,103.7321277
Blk 353 Clementi Ave 2,"Blk 353, Clementi Ave 2, S(120353)",MHC,1.3821881,103.74337943223904
Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC,1.2747578,103.8195817
Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC,1.31606665,103.8487717860692
Blk 409 Ang Mo Kio Ave 10,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC,1.3751296,103.8546476
Blk 44 Holland Drive,"Blk 44, Holland Drive, S(270044)",MHC,1.3088173,103.7930744
Blk 448 Clementi Ave 3,"Blk 448, Clementi Ave 3, S(120448)",MHC,1.38359795,103.77214145966417
Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,1.3848655,103.77175989287821
Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC,1.3158586,103.878363
Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,29.34061965,47.70720569860271
Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,29.34061965,47.70720569860271
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,29.34061965,47.70720569860271
Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK,1.3891523000000001,103.74343591557418
Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,1.311196,103.7600286
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,1.38901635,103.74216384539167
Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,36.273488,43.162365
Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,30.18416165,31.436386239888453
Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,1.38916845,103.74097064843777
Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,1.3751296,103.8546476
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,1.3333197,103.9275467
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,-41.123346,146.00777758198814
Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,32.30195955,36.317604711764716
Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,1.3718021,103.8367391
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,1.4177715,103.8376254
Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,1.3194712,103.8722442
Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,53.4102836,-2.9563587
