month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat,long
2020-01,ang mo kio,3 room,04 to 06,73,new generation,1976,55 years 07 months,265000,208 ang mo kio avenue 1,1.3660451,103.83697
2020-01,ang mo kio,3 room,19 to 21,70,model a,2012,91 years 08 months,470000,307c ang mo kio avenue 1,1.3655819,103.8451826
2020-01,ang mo kio,3 room,01 to 03,73,new generation,1977,56 years 04 months,230000,319 ang mo kio avenue 1,1.3660451,103.83697
2020-01,ang mo kio,3 room,04 to 06,73,new generation,1976,55 years 03 months,280000,216 ang mo kio avenue 1,1.3660451,103.83697
2020-01,ang mo kio,3 room,07 to 09,68,new generation,1980,59 years 01 month,220000,556 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,10 to 12,68,new generation,1980,59 years 01 month,280000,536 ang mo kio avenue 10,1.37448265,103.8540871
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1980,59 years 01 month,240000,560 ang mo kio avenue 10,1.3751559,103.8547884
2020-01,ang mo kio,3 room,04 to 06,82,new generation,1980,59 years 02 months,301000,463 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1979,58 years 07 months,255000,476 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1979,58 years 07 months,233000,442 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,07 to 09,67,new generation,1980,59 years,250000,578 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1979,58 years 07 months,245000,442 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1979,58 years 07 months,255000,445 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1979,58 years,288000,435 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1979,58 years 07 months,235000,442 ang mo kio avenue 10,1.3751296,103.8546476
2020-01,ang mo kio,3 room,07 to 09,67,new generation,1984,63 years 08 months,268000,466 ang mo kio avenue 10,1.36584095,103.8570313
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1979,58 years 05 months,240000,570 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,04 to 06,88,new generation,1978,57 years 04 months,320000,345 ang mo kio avenue 3,1.3690601,103.8578081
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1976,55 years 03 months,250000,213 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1978,57 years 09 months,250000,126 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1979,58 years 05 months,265000,587 ang mo kio avenue 3,1.3700549,103.8754001
2020-01,ang mo kio,3 room,10 to 12,67,new generation,1978,57 years 09 months,300000,121 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,04 to 06,73,new generation,1978,57 years 03 months,320000,345 ang mo kio avenue 3,1.3690601,103.8578081
2020-01,ang mo kio,3 room,10 to 12,67,new generation,1977,56 years 03 months,255000,212 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,04 to 06,88,new generation,1978,57 years 02 months,355000,301 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1978,57 years 09 months,270000,120 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,04 to 06,67,new generation,1978,57 years 09 months,283000,121 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,01 to 03,67,new generation,1978,57 years 09 months,245000,121 ang mo kio avenue 3,1.3706564,103.8733734
2020-01,ang mo kio,3 room,01 to 03,73,new generation,1977,56 years 07 months,255000,256 ang mo kio avenue 4,1.3718021,103.8367391
2020-01,ang mo kio,3 room,07 to 09,75,new generation,1980,59 years 10 months,308000,644 ang mo kio avenue 4,1.3718021,103.8367391
2020-01,ang mo kio,3 room,04 to 06,82,new generation,1981,60 years 04 months,302500,178 ang mo kio avenue 4,1.3763809,103.8368214
