mall,lat,lng
PointyLips Point,0.0,0.0
100 AM,1.2750063,103.8435656
313@Somerset,1.3008856,103.8383582
Aperia,1.3104579,103.8642941
Balestier Hill Shopping Centre,1.3259031,103.8432012
Bugis Cube,1.2981918,103.8556572
Clarke Quay Central,1.2890252,103.8466098
City Gate Mall,1.3022965,103.8622714
The Shoppes at Marina Bay Sands,1.2837366,103.8591923
Marina Bay Financial Centre Tower 3,1.2790221,103.8544967
Orchard Plaza,1.301674,103.8380766
Midpoint Orchard,1.3015694,103.8386083
Orchard Shopping Centre,1.3015019,103.8378442
PoMo,1.299999,103.849343
Scotts Square,1.3058788,103.8329554
Serangoon Plaza,1.3108938,103.8552309
Singapore Shopping Centre,1.2980833,103.8440979
Tanglin Mall,1.3050606,103.8238701
Zhongshan Mall,1.3270618,103.8464431
Djitsun Mall Bedok,1.3262627,103.9294958
Greenwich V,1.387396,103.8694113
myVillage @ Serangoon,1.3650699,103.8652075
Upper Serangoon Shopping Centre,1.3539953,103.8786621
Bukit Panjang Plaza,1.3800396,103.7642339
HillV2,1.363354,103.7643204
Limbang Shopping Centre,1.3920246,103.7433749
Anchorpoint,1.2887706,103.8050762
Taman Jurong Shopping Centre,1.3347767,103.7208215
100 AM,1.2750063,103.8435656
Beauty World Centre,1.3423741,103.7762593
Beauty World Plaza,1.3418536,103.7761747
FairPrice Hub,1.3262422,103.6783524
KINEX,1.3147221,103.8947554
myVillage @ Serangoon,1.3650699,103.8652075
Paya Lebar Square,1.3187541,103.8925678
Rivervale Mall,1.3919537,103.9047236
Sim Lim Tower,1.3037844,103.8546083
Upper Serangoon Shopping Centre,1.3539953,103.8786621
Wisma Geylang Serai,1.316526,103.8967091
313@Somerset,1.3008856,103.8383582
Big Box,1.3318103,103.7447649
Bukit Panjang Plaza,1.3800396,103.7642339
Clarke Quay Central,1.2890252,103.8466098
Djitsun Mall Bedok,1.3262627,103.9294958
Junction Nine,1.4331427,103.8415583
PLQ Mall,1.3181032,103.8937009
SingPost Centre,1.3190065,103.8943833
Tekka Place,1.3050631,103.8514261
Wisteria Mall,1.4182663,103.8412212
888 Plaza,1.4377,103.795662
Admiralty Place,1.4399252,103.8013857
Buangkok Square,1.3843723,103.8819713
Depot Heights Shopping Centre,1.2812742,103.8099871
Elias Mall,1.3783052,103.9418722
Fajar Shopping Centre,1.3838433,103.7706182
Greenridge Shopping Centre,1.3852314,103.7664398
Limbang Shopping Centre,1.3920246,103.7433749
Loyang Point,1.3667277,103.9645679
Pasir Ris West Plaza,1.3797981,103.9362665
Rivervale Plaza,1.385387,103.9018653
Sunshine Place,1.3780144,103.739185
Taman Jurong Shopping Centre,1.3347767,103.7208215
Vista Point,1.4313115,103.7938664
Woodlands Mart,1.4455556,103.7980556
Woodlands North Plaza,1.4426674,103.7907333
Yew Tee Square,1.3980556,103.7469444
Fernvale Point,1.39112,103.87637
Fitzpatrick's,0.0,0.0
Serangoon Plaza,1.3108938,103.8552309
Northshore Plaza,1.415167,103.8999141
The Woodleigh Mall,1.3385074,103.8716119
