school_name,address,mainlevel_code,lat,lng
admiralty primary school,11   woodlands circle,primary,1.4429414,103.80034506744822
admiralty secondary school,31   woodlands crescent,secondary,1.4459118499999999,103.80290805413242
ahmad ibrahim primary school,10   yishun street 11,primary,1.4338487,103.83270977683569
ahmad ibrahim secondary school,751  yishun avenue 7,secondary,1.4361068,103.8279176
ai tong school,100  bright hill drive,primary,1.3607125500000001,103.83301753795786
alexandra primary school,2a   prince charles crescent,primary,1.2912837000000001,103.82406594082047
anchor green primary school,31   anchorvale drive,primary,1.3903797999999998,103.8873537933713
anderson primary school,19   ang mo kio ave 9,primary,1.3827225,103.8393515
anderson secondary school,10   ang mo kio street 53,secondary,1.37541705,103.85172271977174
anderson serangoon junior college,4500 ang mo kio avenue 6,junior college,1.3791514999999999,103.84579741148241
ang mo kio primary school,20   ang mo kio avenue 3,primary,1.3691002,103.83936023522986
ang mo kio secondary school,6    ang mo kio street 22,secondary,1.3676706,103.8425942040293
anglican high school,600  upper changi road,secondary,1.33021825,103.94175939498882
anglo-chinese junior college,25   dover close east,junior college,1.3036328,103.7867836
anglo-chinese school (barker road),60   barker road,secondary,1.3197093999999998,103.83566144213304
anglo-chinese school (independent),121  dover road,mixed levels,1.3029215,103.78055109171335
anglo-chinese school (junior),16   winstedt road,primary,1.30928255,103.8413025008237
anglo-chinese school (primary),50   barker road,primary,1.31875235,103.83507692293153
angsana primary school,3    tampines street 22,primary,1.34878235,103.95165163075276
assumption english school,622  upper bukit timah road,secondary,1.3698987,103.7639812
assumption pathway school,30   cashew road,secondary,1.37022425,103.7664288991761
bartley secondary school,10   jalan bunga rampai,secondary,1.3406552,103.88232713686763
beacon primary school,36   bukit panjang ring road,primary,1.379372,103.7724539
beatty secondary school,1    toa payoh north,secondary,1.3417851,103.85227338068876
bedok green primary school,1    bedok south ave 2,primary,1.3240565000000002,103.93783056591907
bedok green secondary school,360  bedok north ave 3,secondary,1.334061,103.93585828465199
bedok south secondary school,1    jalan langgar bedok,secondary,1.3255597,103.95102831010223
bedok view secondary school,6    bedok south avenue 3,secondary,1.32474105,103.94350847952082
bendemeer primary school,91   bendemeer road,primary,1.3222938499999999,103.86508845
bendemeer secondary school,1    st wilfred road,secondary,1.3244863,103.86048595880919
blangah rise primary school,91   telok blangah heights,primary,1.27640575,103.80880997314256
boon lay garden primary school,20   boon lay drive,primary,1.3428882,103.71293314363199
boon lay secondary school,11   jurong west street 65,secondary,1.3427581000000002,103.70167376032693
bowen secondary school,2    lorong napiri,secondary,0.0,0.0
broadrick secondary school,61   dakota crescent,secondary,1.30726495,103.88688663729529
bukit batok secondary school,50   bukit batok west ave 8,secondary,1.3484109000000002,103.7407153883717
bukit merah secondary school,10   lengkok bahru,secondary,1.2859241,103.81302160740091
bukit panjang govt. high school,7    choa chu kang ave 4,secondary,1.3820990499999999,103.73832067108246
bukit panjang primary school,109  cashew road,primary,1.3734053,103.76939883022703
bukit timah primary school,111  lorong kismis,primary,1.33751905,103.76684937098565
bukit view primary school,18   bukit batok street 21,primary,1.34570095,103.7535184997777
bukit view secondary school,16   bukit batok street 21,secondary,1.34569905,103.75219202760816
canberra primary school,21   admiralty drive,primary,1.45085035,103.81559371692055
canberra secondary school,51   sembawang drive,secondary,1.45374325,103.81422793735004
canossa catholic primary school,1    sallim road,primary,1.3266014,103.88105039708165
cantonment primary school,1    cantonment close,primary,1.2758142000000001,103.83988838698619
casuarina primary school,30   pasir ris st 41,primary,1.3728079,103.9572278570395
catholic high school,9    bishan street 22,mixed levels,1.35492755,103.84498827399534
catholic junior college,129  whitley road,junior college,1.3252735,103.8353627983077
cedar girls' secondary school,1    cedar avenue,secondary,1.3342195000000001,103.8742635732365
cedar primary school,15   cedar avenue,primary,1.33554225,103.87548637064003
changkat changi secondary school,23   simei st 3,secondary,1.3404936,103.9529812112048
changkat primary school,11   simei st 3,primary,1.33982335,103.95227531092621
chij (katong) primary,17   martia road,primary,1.30643785,103.91083201080629
chij (kellock),1    bukit teresa road,primary,1.274664,103.8280550817506
chij katong convent,346  marine terrace,secondary,1.30633255,103.91778620715004
chij our lady of good counsel,2c   burghley drive,primary,1.3577786,103.86393027516013
chij our lady of the nativity,1257 upper serangoon road,primary,1.3383053,103.8707127
chij our lady queen of peace,4    chestnut drive,primary,1.3664051000000002,103.768196996015
chij primary (toa payoh),628  lorong 1 toa payoh,primary,1.3331269,103.84240300250805
chij secondary (toa payoh),626  lorong 1 toa payoh,secondary,1.3326721,103.84284656956811
chij st. joseph's convent,62   sengkang east way,secondary,1.39185175,103.90248663868363
chij st. nicholas girls' school,501  ang mo kio street 13,mixed levels,1.37344905,103.83407767975933
chij st. theresa's convent,160  lower delta road,secondary,1.27614885,103.8222529475166
chongfu school,170  yishun avenue 6,primary,1.4387276,103.83929013137512
chongzheng primary school,1    tampines street 21,primary,1.35054425,103.95092058934961
christ church secondary school,20   woodlands drive 17,secondary,1.42666655,103.79314509515245
chua chu kang primary school,20   choa chu kang avenue 2,primary,1.37793775,103.74198414587175
chua chu kang secondary school,3    teck whye crescent,secondary,1.38350835,103.75154241451996
chung cheng high school (main),50   goodman road,secondary,1.3053550999999999,103.8917707808657
chung cheng high school (yishun),11   yishun street 61,secondary,1.41910045,103.83728733872445
clementi primary school,8    clementi ave 3,primary,1.31556955,103.76320883321443
clementi town secondary school,10   clementi ave 3,secondary,1.31566085,103.7619064748706
commonwealth secondary school,698  west coast road,secondary,1.31969715,103.74569995189142
compassvale primary school,21   compassvale st,primary,1.3945064,103.8980350715747
