attraction,lat,lng
Adventure Cove Waterpark™ Singapore,1.2573388,103.8195254
Armenian Church in Singapore,1.29293,103.84966
ArtScience Museum Singapore,1.28624,103.85929
Asian Civilisations Museum & Singapore Museum,1.287384,103.851723
"Bras Basah.Bugis, Singapore Cultural District",1.30069,103.85624
Buddha Tooth Relic Temple & Museum in Singapore,1.28162,103.84438
Cable Car Singapore & Mount Faber,1.2713746,103.8192057
Capitol Building Singapore,1.29354,103.85157
Changi Museum Singapore,1.36218,103.97403
Chek Jawa,1.407866,103.96371
CHIJMES Singapore,1.29526,103.85168
"Chinatown Heritage Centre, Singapore",1.28351,103.84435
Chinatown Singapore: History & Culture,1.2817,103.843771
Chinese Garden Singapore,1.338611,103.73
"Chinese Heritage Centre, Singapore",1.34379,103.68398
Padang,1.2905618,103.8508551
Contemporary Arts Center,1.275,103.8045
"Dalhousie Obelisk, a Singapore Landmark",1.28704,103.85238
East Coast Park Singapore,1.300784,103.912187
Singapore Flyer,1.2892988,103.8631368
Esplanade Theatres on the Bay,1.2898,103.85528
Eurasian Heritage Centre: Singapore Attraction,1.31007,103.89942
Fort Canning Park,1.295382,103.846509
Fuk Tak Chi Museum & Places of Interest,1.28292,103.84887
Battlebox,1.2937423,103.846223
Gardens by the Bay,1.281568,103.863613
Gillman Barracks,1.2784,103.80459
Hajjah Fatimah Mosque,1.30291,103.86285
"HarbourFront, Singapore",1.26532,103.82057
Haw Par Villa: Singapore Theme Park,1.28551,103.78314
Henderson Waves Bridge,1.2762425,103.8152539
Hong San See Temple Singapore,1.29316,103.841222
HortPark,1.279069,103.799724
HDB Hub,1.3320022,103.8472452
Shuang Lin Cheng Huang Temple,1.329875,103.8564538
Jamae Mosque (Masjid Chulia) Singapore,1.28311,103.84554
Joo Chiat/Katong: Singapore Peranakan Neighbourhood,1.30589,103.90448
"Jurong Bird Park, Singapore: Attractions & Things to Do",1.318706,103.706442
Kampong Glam & Malay Culture in Singapore,1.30238,103.8595
Katong Antique House Singapore: Peranakan Heritage,1.30726,103.90714
Kranji War Memorial Landmark in Singapore,1.41903,103.75749
"Kusu Island, Singapore",1.2230965,103.8605232
Labrador Nature Reserve,1.265833,103.801944
Indian Heritage Centre,1.305687,103.8500719
Lasalle College of the Arts,1.3029,103.8516
Lau Pa Sat Singapore,1.28072,103.85044
Lim Bo Seng Memorial,1.288483,103.853027
Little India Arcade,1.3059198,103.8493189
MacRitchie Singapore & Singapore Nature Reserve,1.344843,103.822346
Maghain Aboth Synagogue,1.29821,103.85081
"Malay Heritage Centre, Singapore",1.30309,103.85986
Marina Barrage,1.28063,103.87159
"Marina Bay Sands, Singapore",1.2838785,103.85899
Holland Village,1.3109119,103.7776841
Marina Bay Sands SkyPark,1.283456,103.86081
Marina South Pier,1.2709749,103.8634616
"Merlion Park, Singapore: Attractions & Things to Do",1.286862,103.854552
MINT Museum of Toys Singapore & Toy Museum,1.29631,103.85439
"National Design Centre, Singapore",1.29882,103.85351
National Gallery Singapore,1.290141,103.851356
National Museum of Singapore,1.29689,103.84883
"Night Safari, Singapore",1.402187,103.788061
NUS Baba House - Singapore Peranakan Architecture,1.27731,103.83731
Lee Kong Chain Natural History Museum,1.3014053,103.773645
Old Ford Factory Singapore Museum,1.35232,103.76883
Raffles Hotel,1.2948883,103.8522904
Singapore Discovery Centre,1.3326958,103.6767545
Newater Visitor Centre,1.3242516,103.9564885
Peranakan Museum Singapore: History & Culture,1.29421,103.8492
Sky Garden Pinnacle@Duxton,1.27549,103.84142
Pulau Ubin & Singapore Islands,1.4137409,103.9592605
Former Tanjong Pagar Railway Station,1.2726189,103.8369605
Raffles Landing Site,1.287766,103.850845
"Red Dot Design Museum, Singapore",1.27828,103.84572
Reflections at Bukit Chandu: Singapore War Memorial,1.27954,103.79433
"Resorts World Sentosa, Singapore",1.25675,103.82033
River Safari Singapore,1.403732,103.789423
S.E.A. Aquarium,1.2573549,103.8194932
SAM at 8Q & Singapore Art Museum,1.29731,103.85168
"Sentosa Island, Singapore: Leisure & Attractions",1.24883,103.82809
Downtown East,1.3801799,103.9564071
Singapore Art Museum,1.297424,103.851068
Singapore Botanic Gardens,1.31384,103.815914
Singapore City Gallery,1.27987,103.84513
Singapore Coins and Notes Museum & Museum Singapore,1.28343,103.84452
Singapore Flyer,1.289299,103.863137
Clarke Quay,1.2906078,103.8442855
Singapore Philatelic Museum,1.29294,103.8487
Boat Quay,1.28848,103.84676
Singapore Science Centre,1.33295,103.735872
Singapore Zoo: Attractions & Things to Do,1.404348,103.793023
Geylang Serai,1.3169537,103.8951964
Sri Mariamman Temple: Hindu Temple in Singapore,1.28243,103.84538
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,1.30779,103.85258
St Andrew Cathedral- Singapore Architecture Landmark,1.29249,103.85231
Sultan Mosque (Masjid Sultan) Singapore,1.302379,103.859171
Sun Yat Sen Memorial Hall,1.32795,103.84692
Sungei Buloh Wetland Reserve,1.44672,103.730149
The Cenotaph - a Singapore War Memorial Landmark,1.290348,103.8538376
The Civilian War Memorial park in Singapore,1.293123,103.854618
Wak Hai Cheng Bio,1.2846717,103.8492514
The Japanese Cemetery Park,1.36431,103.87584
"The Substation, Singapore Contemporary Art Centre",1.2944,103.84934
"Thian Hock Keng Temple, Singapore",1.28094,103.84763
Universal Studios Singapor Theme Park,1.254042,103.823808
Victoria Theatre Singapore,1.28837,103.851641
