mall,lat,lng,date_opened
100 AM,1.2904753,103.8520359,
111 Somerset,1.3001972,103.8373493,1/10/2019
313 Somerset,1.3011749,103.8385492,
313@Somerset,1.3010128,103.8385399,
888 Plaza,1.43780985,103.7953161,
Admiralty Place,1.43969745,103.8018411,
Alexandra Retail Centre,1.2738926,103.8014564,
AMK Hub,1.36943465,103.848334,
Anchorpoint,1.2885974,103.8054696,
Aperia,1.3103409,103.8640259,
Balestier Hill Shopping Centre,1.32544235,103.8425211,
Beauty World Centre,1.3423624,103.7764855,
Beauty World Plaza,1.34183005,103.776278,
Bedok Mall ,1.3245305,103.9290971,
Bedok Point ,1.32475745,103.9323895,
Big Box,1.3318438,103.744754,
Buangkok Square,1.38383875,103.8819622,
Bugis Cube,1.2982756,103.8555546,
Bugis Junction,1.2989008,103.855176,
Bugis+,1.2999533,103.8552781,
Bukit Panjang Plaza,1.3799708,103.7643334,
Causeway Point,1.43610095,103.7860949,
Century Square,1.35237745,103.9438195,
Changi Airport,1.35755735,103.9884703,
Changi City Point,1.33356365,103.9624762,
City Gate Mall,1.3022965,103.8622714,
City Square Mall,1.3112429,103.8565772,
Clarke Quay Central,1.28818655,103.8463956,
Clementi Mall,1.31502865,103.7644982,
Compass One,1.3920337,103.8949527,
Depot Heights Shopping Centre,1.28115,103.810041,
Djitsun Mall Bedok,1.3260744,103.9295754,
East Point Mall,1.2904753,103.8520359,
Elias Mall,1.37855525,103.9420134,
FairPrice Hub,1.32553245,103.6784394,
Fajar Shopping Centre,1.3834498,103.7710942,
Fernvale Point,1.3904635,103.8770826,
Forum The Shopping Mall,1.3061111,103.8286111,
Funan,1.2913264,103.8478945,1/6/2019
Great World City,1.29345175,103.8319929,
Greenridge Shopping Centre,1.38537915,103.7661902,
Greenwich V,1.38750095,103.8693942,
HarbourFront Centre,1.2636951,103.8203755,
Hill V2,1.2689904,103.8173106,
Hillion Mall,1.37850815,103.7633212,1/2/2017
HillV2,1.363354,103.7643204,
Hougang Mall,1.3725735,103.8937879,
I12 Katong,1.3051226,103.9051674,
IMM Mall,1.334611,103.7467494,
ION Orchard,1.30394785,103.8319051,
JCubeMall,1.333138,103.740343,
JEM,1.3332962,103.7433912,
Jewel Changi Airport,1.36025,103.98928,1/4/2019
Junction 10,1.3803675,103.7601674,
Junction 8,1.3505893,103.8487447,
Junction Nine,1.4331446,103.8416997,
Jurong Point Shopping Mall,1.3397443,103.7067297,
Kallang Leisure Park,1.3022222,103.8763889,
Kallang Wave Mall,1.3035107,103.8727917,
KINEX,1.31476385,103.894707,
Limbang Shopping Centre,1.3919423,103.7433051,
Lot One Shoppers' Mall,1.38505675,103.7450277,
Loyang Point,1.36696475,103.9646487,
Marina Bay Financial Centre Tower 3,1.2789573,103.8544488,
Marina Bay Link Mall,1.2808361,103.8539888,
Marina Bay Sands,1.2836965,103.8607226,
Marina Square,1.2912739,103.8571836,
Midpoint Orchard,1.3017143,103.8386311,
Millenia Walk,1.292471,103.8596399,
Mustafa Centre,1.3101174,103.8553229,
myVillage @ Serangoon,1.36512225,103.8650484,
NeWEST Shopping Mall,1.3164853,103.7573965,1/6/2017
Nex Mall,1.3504507,103.8722447,
Ngee Ann City,1.30261705,103.8345284,
Northpoint City,1.4282062,103.836264,1/9/2017
Northshore Plaza,1.415167,103.8999141,
Novena Square,1.3199743,103.8435637,
One Raffles Place,1.28429825,103.8510618,
Orchard Central,1.3008042,103.839819,
Orchard Gateway,1.3014214,103.8389049,
Orchard Plaza,1.3006857,103.8409687,
Orchard Shopping Centre,1.3014771,103.8378934,
Paragon Shopping Centre,1.3038699,103.8357982,
Parkway Parade,1.30137335,103.9051778,
Pasir Ris West Plaza,1.379485,103.935886,
Paya Lebar Quarter,1.31685085,103.8936543,30/8/2019
Paya Lebar Square,1.31862245,103.8926348,
Pioneer Mall,1.34169785,103.6971606,
Plaza Singapura,1.3004414,103.8449028,
PLQ Mall,1.31758575,103.892854,
PoMo,1.30008365,103.8492948,
Raffles City ,1.2933509,103.853135,
Raffles Holland V,1.3105584,103.7961823,1/10/2016
Rivervale Mall,1.39224515,103.9043778,
Rivervale Plaza,1.39047365,103.9056382,
Rochester Mall,1.30565775,103.7880838,
Scotts Square,1.30583435,103.8329333,
Sembawang Shopping Centre,1.4417528,103.8243756,
Serangoon Plaza,1.3109014,103.8548135,
Sim Lim Tower,1.30398835,103.8547143,
Singapore Shopping Centre,1.2981147,103.8441112,
SingPost Centre,1.31885315,103.8936359,3/10/2017
Square 2,1.3206362,103.8441867,
Star Vista,1.3070504,103.788817,
Sunshine Place,1.37779095,103.7389211,
Suntec City,1.2946918,103.8591583,
Takashimaya,1.30308,103.8347345,
Taman Jurong Shopping Centre,1.334493,103.7204337,
Tampines 1,1.3540838,103.9445115,
Tampines Mall,1.35254345,103.9447383,
Tanglin Mall,1.3051862,103.8241588,
Tekka Place,1.3051199,103.8514332,12/3/2020
The Central,1.340863,103.8303918,
The Centrepoint,1.3018345,103.8397126,
The Rail Mall,1.3601778,103.7675449,
The Seletar Mall,1.39177275,103.8760148,
The Shoppes at Marina Bay Sands,1.28408635,103.8588358,
The Verge,1.375126,103.7500699,
The Woodleigh Mall,1.33865455,103.8717727,
Thomson Plaza,1.3546534,103.831073,
Tiong Bahru Plaza,1.2860113,103.8274107,
United Square Mall,1.31725795,103.8436009,
Upper Serangoon Shopping Centre,1.3536587,103.8788228,
Valley Point,1.29304,103.8269,
Velocity,1.319494,103.8437082,
Vista Point,1.4307324,103.7940437,
Vivocity,1.26437065,103.8229537,
Waterway Point,1.4066031,103.9020707,18/1/2016
West Coast Plaza,1.3135632,103.7585945,
West Gate,1.334194,103.7428671,
West Mall,1.3500765,103.7492566,
Wheelock Place,1.3046691,103.8306003,
White Sands,1.3723844,103.9497206,
Wisma Atria,1.3035039,103.8331449,
Wisma Geylang Serai,1.31649575,103.8967293,
Wisteria Mall,1.4182429,103.8412529,1/7/2018
Woodlands Mart,1.4456569,103.798172,
Woodlands North Plaza,1.44287995,103.7908639,
Yew Tee Point,1.39695775,103.7466122,
Yew Tee Square,1.3982858,103.7470082,
Zhongshan Mall,1.3268252,103.8465593,
