mall,lat,lng
100 AM,0,0
313@Somerset,0,0
Aperia,0,0
Balestier Hill Shopping Centre,0,0
Bugis Cube,0,0
Clarke Quay Central,0,0
City Gate Mall,0,0
The Shoppes at Marina Bay Sands,0,0
Marina Bay Financial Centre Tower 3,0,0
Orchard Plaza,0,0
Midpoint Orchard,0,0
Orchard Shopping Centre,0,0
PoMo,0,0
Scotts Square,0,0
Serangoon Plaza,0,0
Singapore Shopping Centre,0,0
Tanglin Mall,0,0
Zhongshan Mall,0,0
Djitsun Mall Bedok,0,0
Greenwich V,0,0
myVillage @ Serangoon,0,0
Upper Serangoon Shopping Centre,0,0
Bukit Panjang Plaza,0,0
HillV2,0,0
Limbang Shopping Centre,0,0
Anchorpoint,0,0
Taman Jurong Shopping Centre,0,0
Beauty World Centre,0,0
Beauty World Plaza,0,0
FairPrice Hub,0,0
KINEX,0,0
Paya Lebar Square,0,0
Rivervale Mall,0,0
Sim Lim Tower,0,0
Wisma Geylang Serai,0,0
Big Box,0,0
Junction Nine,0,0
PLQ Mall,0,0
SingPost Centre,0,0
Tekka Place,0,0
Wisteria Mall,0,0
888 Plaza,0,0
Admiralty Place,0,0
Buangkok Square,0,0
Depot Heights Shopping Centre,0,0
Elias Mall,0,0
Fajar Shopping Centre,0,0
Greenridge Shopping Centre,0,0
Loyang Point,0,0
Pasir Ris West Plaza,0,0
Rivervale Plaza,0,0
Sunshine Place,0,0
Vista Point,0,0
Woodlands Mart,0,0
Woodlands North Plaza,0,0
Yew Tee Square,0,0
Fernvale Point,0,0
Fitzpatrick's,0,0
Northshore Plaza,0,0
The Woodleigh Mall,0,0
Alexandra Retail Centre,0,0
AMK Hub,0,0
Bedok Mall ,0,0
Bedok Point ,0,0
Bugis Junction,0,0
Bugis+,0,0
Causeway Point,0,0
Century Square,0,0
Changi Airport,0,0
Changi City Point,0,0
City Square Mall,0,0
Clementi Mall,0,0
Compass One,0,0
East Point Mall,0,0
Forum The Shopping Mall,0,0
Great World City,0,0
HarbourFront Centre,0,0
Hillion Mall,0,0
Hill V2,0,0
Hougang Mall,0,0
IMM Mall,0,0
ION Orchard,0,0
JCubeMall,0,0
JEM,0,0
Junction 8,0,0
Junction 10,0,0
Jurong Point Shopping Mall,0,0
Kallang Leisure Park,0,0
Kallang Wave Mall,0,0
Lot One Shoppers’ Mall,0,0
Marina Bay Link Mall,0,0
Marina Bay Sands,0,0
Marina Square,0,0
Millenia Walk,0,0
Mustafa Centre,0,0
Ngee Ann City,0,0
NeWEST Shopping Mall,0,0
Nex Mall,0,0
Northpoint City,0,0
Novena Square,0,0
One Raffles Place,0,0
Orchard Central,0,0
Orchard Gateway,0,0
Paragon Shopping Centre,0,0
Paya Lebar Quarter,0,0
Parkway Parade,0,0
Pioneer Mall,0,0
Plaza Singapura,0,0
Raffles City ,0,0
Rochester Mall,0,0
Sembawang Shopping Centre,0,0
Square 2,0,0
Star Vista,0,0
Suntec City,0,0
Takashimaya,0,0
Tampines 1,0,0
Tampines Mall,0,0
The Central,0,0
The Centrepoint,0,0
The Rail Mall,0,0
The Seletar Mall,0,0
The Verge,0,0
Thomson Plaza,0,0
Tiong Bahru Plaza,0,0
United Square Mall,0,0
Valley Point,0,0
Velocity,0,0
Vivocity,0,0
Waterway Point,0,0
West Coast Plaza,0,0
West Gate,0,0
West Mall,0,0
Wheelock Place,0,0
White Sands,0,0
Wisma Atria,0,0
Yew Tee Point,0,0
I12 Katong,0,0
