school_name,lat,lng,address,mainlevel_code
admiralty primary school,0,0,11   woodlands circle,primary
admiralty secondary school,0,0,31   woodlands crescent,secondary
ahmad ibrahim primary school,0,0,10   yishun street 11,primary
ahmad ibrahim secondary school,0,0,751  yishun avenue 7,secondary
ai tong school,0,0,100  bright hill drive,primary
alexandra primary school,0,0,2a   prince charles crescent,primary
anchor green primary school,0,0,31   anchorvale drive,primary
anderson primary school,0,0,19   ang mo kio ave 9,primary
anderson secondary school,0,0,10   ang mo kio street 53,secondary
anderson serangoon junior college,0,0,4500 ang mo kio avenue 6,junior college
ang mo kio primary school,0,0,20   ang mo kio avenue 3,primary
ang mo kio secondary school,0,0,6    ang mo kio street 22,secondary
anglican high school,0,0,600  upper changi road,secondary
anglo-chinese junior college,0,0,25   dover close east,junior college
anglo-chinese school (barker road),0,0,60   barker road,secondary
anglo-chinese school (independent),0,0,121  dover road,mixed levels
anglo-chinese school (junior),0,0,16   winstedt road,primary
anglo-chinese school (primary),0,0,50   barker road,primary
angsana primary school,0,0,3    tampines street 22,primary
assumption english school,0,0,622  upper bukit timah road,secondary
assumption pathway school,0,0,30   cashew road,secondary
bartley secondary school,0,0,10   jalan bunga rampai,secondary
beacon primary school,0,0,36   bukit panjang ring road,primary
beatty secondary school,0,0,1    toa payoh north,secondary
bedok green primary school,0,0,1    bedok south ave 2,primary
bedok green secondary school,0,0,360  bedok north ave 3,secondary
bedok south secondary school,0,0,1    jalan langgar bedok,secondary
bedok view secondary school,0,0,6    bedok south avenue 3,secondary
bendemeer primary school,0,0,91   bendemeer road,primary
bendemeer secondary school,0,0,1    st wilfred road,secondary
blangah rise primary school,0,0,91   telok blangah heights,primary
boon lay garden primary school,0,0,20   boon lay drive,primary
boon lay secondary school,0,0,11   jurong west street 65,secondary
bowen secondary school,0,0,2    lorong napiri,secondary
broadrick secondary school,0,0,61   dakota crescent,secondary
bukit batok secondary school,0,0,50   bukit batok west ave 8,secondary
bukit merah secondary school,0,0,10   lengkok bahru,secondary
bukit panjang govt. high school,0,0,7    choa chu kang ave 4,secondary
bukit panjang primary school,0,0,109  cashew road,primary
bukit timah primary school,0,0,111  lorong kismis,primary
bukit view primary school,0,0,18   bukit batok street 21,primary
bukit view secondary school,0,0,16   bukit batok street 21,secondary
canberra primary school,0,0,21   admiralty drive,primary
canberra secondary school,0,0,51   sembawang drive,secondary
canossa catholic primary school,0,0,1    sallim road,primary
cantonment primary school,0,0,1    cantonment close,primary
casuarina primary school,0,0,30   pasir ris st 41,primary
catholic high school,0,0,9    bishan street 22,mixed levels
catholic junior college,0,0,129  whitley road,junior college
cedar girls' secondary school,0,0,1    cedar avenue,secondary
cedar primary school,0,0,15   cedar avenue,primary
changkat changi secondary school,0,0,23   simei st 3,secondary
changkat primary school,0,0,11   simei st 3,primary
chij (katong) primary,0,0,17   martia road,primary
chij (kellock),0,0,1    bukit teresa road,primary
chij katong convent,0,0,346  marine terrace,secondary
chij our lady of good counsel,0,0,2c   burghley drive,primary
chij our lady of the nativity,0,0,1257 upper serangoon road,primary
chij our lady queen of peace,0,0,4    chestnut drive,primary
chij primary (toa payoh),0,0,628  lorong 1 toa payoh,primary
chij secondary (toa payoh),0,0,626  lorong 1 toa payoh,secondary
chij st. joseph's convent,0,0,62   sengkang east way,secondary
chij st. nicholas girls' school,0,0,501  ang mo kio street 13,mixed levels
chij st. theresa's convent,0,0,160  lower delta road,secondary
chongfu school,0,0,170  yishun avenue 6,primary
chongzheng primary school,0,0,1    tampines street 21,primary
christ church secondary school,0,0,20   woodlands drive 17,secondary
chua chu kang primary school,0,0,20   choa chu kang avenue 2,primary
chua chu kang secondary school,0,0,3    teck whye crescent,secondary
chung cheng high school (main),0,0,50   goodman road,secondary
chung cheng high school (yishun),0,0,11   yishun street 61,secondary
clementi primary school,0,0,8    clementi ave 3,primary
clementi town secondary school,0,0,10   clementi ave 3,secondary
commonwealth secondary school,0,0,698  west coast road,secondary
compassvale primary school,0,0,21   compassvale st,primary
compassvale secondary school,0,0,51   compassvale crescent,secondary
concord primary school,0,0,3    choa chu kang ave 4,primary
corporation primary school,0,0,31   jurong west street 24,primary
crescent girls' school,0,0,357  tanglin road,secondary
crest secondary school,0,0,561  jurong east street 24,secondary
damai primary school,0,0,52   bedok reservoir crescent,primary
damai secondary school,0,0,4800 bedok reservoir road,secondary
dazhong primary school,0,0,35   bukit batok street 31,primary
de la salle school,0,0,11   choa chu kang st 52,primary
deyi secondary school,0,0,1    ang mo kio street 42,secondary
dunearn secondary school,0,0,21   bukit batok west avenue 2,secondary
dunman high school,0,0,10   tanjong rhu road,mixed levels
dunman secondary school,0,0,21   tampines street 45,secondary
east spring primary school,0,0,31   tampines st 33,primary
east spring secondary school,0,0,30   tampines street 34,secondary
edgefield primary school,0,0,41   edgefield plains,primary
edgefield secondary school,0,0,36   punggol field,secondary
elias park primary school,0,0,11   pasir ris street 52,primary
endeavour primary school,0,0,10   admiralty link,primary
eunoia junior college,0,0,2    sin ming place,junior college
eunos primary school,0,0,95   jalan eunos,primary
evergreen primary school,0,0,31   woodlands circle,primary
evergreen secondary school,0,0,11   woodlands street 83,secondary
fairfield methodist school (primary),0,0,100  dover road,primary
fairfield methodist school (secondary),0,0,102  dover road,secondary
fajar secondary school,0,0,31   gangsa road,secondary
farrer park primary school,0,0,2    farrer park road,primary
fengshan primary school,0,0,307  bedok north road,primary
fern green primary school,0,0,70   fernvale link,primary
fernvale primary school,0,0,1    fernvale lane,primary
first toa payoh primary school,0,0,7    lorong 8 toa payoh,primary
frontier primary school,0,0,20   jurong west street 61,primary
fuchun primary school,0,0,23   woodlands avenue 1,primary
fuchun secondary school,0,0,21   woodlands avenue 1,secondary
fuhua primary school,0,0,65   jurong east street 13,primary
fuhua secondary school,0,0,5    jurong west street 41,secondary
gan eng seng primary school,0,0,100  redhill close,primary
gan eng seng school,0,0,1    henderson road,secondary
geylang methodist school (primary),0,0,4    geylang east central,primary
geylang methodist school (secondary),0,0,2    geylang east central,secondary
gongshang primary school,0,0,1    tampines street 42,primary
greendale primary school,0,0,50   edgedale plains,primary
greendale secondary school,0,0,51   edgedale plains,secondary
greenridge primary school,0,0,11   jelapang road,primary
greenridge secondary school,0,0,32   bukit panjang ring road,secondary
greenwood primary school,0,0,11   woodlands  dr  62,primary
guangyang primary school,0,0,6    bishan street 12,primary
guangyang secondary school,0,0,8    bishan street 12,secondary
hai sing catholic school,0,0,9    pasir ris drive 6,secondary
haig girls' school,0,0,51   koon seng road,primary
henry park primary school,0,0,1    holland grove road,primary
hillgrove secondary school,0,0,10   bukit batok street 52,secondary
holy innocents' high school,0,0,1191 upper serangoon road,secondary
holy innocents' primary school,0,0,5    lorong low koon,primary
hong wen school,0,0,30   towner road,primary
horizon primary school,0,0,61   edgedale plains,primary
hougang primary school,0,0,1    hougang st 93,primary
hougang secondary school,0,0,2    hougang street 93,secondary
hua yi secondary school,0,0,60   jurong west st 42,secondary
huamin primary school,0,0,21   yishun avenue 11,primary
hwa chong institution,0,0,661  bukit timah road,mixed levels
innova primary school,0,0,80   woodlands drive 17,primary
jiemin primary school,0,0,2    yishun street 71,primary
jing shan primary school,0,0,5    ang mo kio st 52,primary
junyuan primary school,0,0,2    tampines street 91,primary
junyuan secondary school,0,0,11   tampines street 84,secondary
jurong pioneer junior college,0,0,21   teck whye walk,junior college
jurong primary school,0,0,320  jurong east street 32,primary
jurong secondary school,0,0,31   yuan ching road,secondary
