school_name,lat,lng,address,mainlevel_code
admiralty primary school,1.4429414,103.80034506744822,11   woodlands circle,primary
admiralty secondary school,1.4459118499999999,103.80290805413242,31   woodlands crescent,secondary
ahmad ibrahim primary school,1.4338487,103.83270977683569,10   yishun street 11,primary
ahmad ibrahim secondary school,1.4361068,103.8279176,751  yishun avenue 7,secondary
ai tong school,1.3607125500000001,103.83301753795786,100  bright hill drive,primary
alexandra primary school,1.2912837000000001,103.82406594082047,2a   prince charles crescent,primary
anchor green primary school,1.3903797999999998,103.8873537933713,31   anchorvale drive,primary
anderson primary school,1.3827225,103.8393515,19   ang mo kio ave 9,primary
anderson secondary school,1.37541705,103.85172271977174,10   ang mo kio street 53,secondary
anderson serangoon junior college,1.3791514999999999,103.84579741148241,4500 ang mo kio avenue 6,junior college
ang mo kio primary school,1.3691002,103.83936023522986,20   ang mo kio avenue 3,primary
ang mo kio secondary school,1.3676706,103.8425942040293,6    ang mo kio street 22,secondary
anglican high school,1.33021825,103.94175939498882,600  upper changi road,secondary
anglo-chinese junior college,1.3036328,103.7867836,25   dover close east,junior college
anglo-chinese school (barker road),1.3197093999999998,103.83566144213304,60   barker road,secondary
anglo-chinese school (independent),1.3029215,103.78055109171335,121  dover road,mixed levels
anglo-chinese school (junior),1.30928255,103.8413025008237,16   winstedt road,primary
anglo-chinese school (primary),1.31875235,103.83507692293153,50   barker road,primary
angsana primary school,1.34878235,103.95165163075276,3    tampines street 22,primary
assumption english school,1.3698987,103.7639812,622  upper bukit timah road,secondary
assumption pathway school,1.37022425,103.7664288991761,30   cashew road,secondary
bartley secondary school,1.3406552,103.88232713686763,10   jalan bunga rampai,secondary
beacon primary school,1.379372,103.7724539,36   bukit panjang ring road,primary
beatty secondary school,1.3417851,103.85227338068876,1    toa payoh north,secondary
bedok green primary school,1.3240565000000002,103.93783056591907,1    bedok south ave 2,primary
bedok green secondary school,1.334061,103.93585828465199,360  bedok north ave 3,secondary
bedok south secondary school,1.3255597,103.95102831010223,1    jalan langgar bedok,secondary
bedok view secondary school,1.32474105,103.94350847952082,6    bedok south avenue 3,secondary
bendemeer primary school,1.3222938499999999,103.86508845,91   bendemeer road,primary
bendemeer secondary school,1.3244863,103.86048595880919,1    st wilfred road,secondary
blangah rise primary school,1.27640575,103.80880997314256,91   telok blangah heights,primary
boon lay garden primary school,1.3428882,103.71293314363199,20   boon lay drive,primary
boon lay secondary school,1.3427581000000002,103.70167376032693,11   jurong west street 65,secondary
